CAS
1131,Bioinfomatics Bldg
1101,Burruss Hall
1122,Food Science Bldg
1126,Harper Hall
1121,I Lot/Cage Sbnd
1132,Life Sciences 1 Bldg
1116,Litton Reaves Hall
1135,Smithfield Lot
1106,Stanger/Old Turner Wbnd
1103,West Campus/Perry Nbnd
CRC
1703,Airport
1649,Blacksburg Transit
1101,Burruss Hall
1124,Cassell Coliseum
1129,Coliseum Parking Lot Sbnd
1650,Commerce/Industrial Park Sbnd
1651,Industrial Park/Prosperity Wbnd
1636,Industrial Park/Transportation Res Ebnd
1647,Industrial Park/Transportation Res Wbnd
1724,Innovation/Smoot Wbnd
1714,Kraft/Knowledgeworks 1 Bldg Sbnd
1715,Kraft/Moss Bldg Sbnd
1710,Kraft/Research Ctr Ebnd
1706,Kraft/Tech Center Dr Sbnd
1128,Lane Stadium S Endzone Nbnd
1127,Lane Stadium S Endzone Sbnd
1116,Litton Reaves Hall
1123,McComas Hall
1100,Newman Library
1709,Pratt Dr/Andrews Bldg Nbnd
1705,Pratt Dr/Andrews Bldg Sbnd
1708,Pratt Dr/Garvin Bldg Nbnd
1701,Pratt Dr/Garvin Bldg Sbnd
1702,Pratt/Kraft Ebnd
1707,Pratt/Kraft Wbnd
1722,Research Ctr/Innovation Nbnd
1719,Research Ctr/Innovation Sbnd
1713,Research Ctr/N Knollwood Nbnd
1712,Research Ctr/Rimrock Nbnd
1711,Research Ctr/Rimrock Sbnd
1716,Research Ctr/S Knollwood Nbnd
1125,Tennis Courts
HXP
1131,Bioinfomatics Bldg
1101,Burruss Hall
1139,Cage/Duck Pond Ebnd
1138,Cage/Smithfield Ebnd
1129,Coliseum Parking Lot Sbnd
1122,Food Science Bldg
1126,Harper Hall
1107,Hutcheson Hall
1121,I Lot/Cage Sbnd
1128,Lane Stadium S Endzone Nbnd
1127,Lane Stadium S Endzone Sbnd
1132,Life Sciences 1 Bldg
1116,Litton Reaves Hall
1123,McComas Hall
1100,Newman Library
1130,Oak Lane Nbnd
1118,Oak Lane North
1119,Oak Lane South
1120,Overflow Lot Ebnd
1117,Overflow Lot Wbnd
1135,Smithfield Lot
1137,Smithfield/Duck Pond Sbnd
1108,War Memorial Hall
HWD
1101,Burruss Hall
1102,Davidson Hall
1214,Heather/Huntington Nbnd
1213,Heather/Plymouth Nbnd
