time,routeName,bus ID,LastStopName,stopCode,IsBusAtStop,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
2020-09-13 13:57:32.553442,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T13:57:17-04:00,11,14%
2020-09-13 13:57:52.674464,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T13:57:47-04:00,11,14%
2020-09-13 13:58:12.779027,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T13:57:54-04:00,11,14%
2020-09-13 13:58:32.900449,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T13:58:17-04:00,11,14%
2020-09-13 13:58:53.017391,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T13:58:47-04:00,11,14%
2020-09-13 13:59:13.115005,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T13:58:56-04:00,11,14%
2020-09-13 13:59:33.230728,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T13:59:17-04:00,11,14%
2020-09-13 13:59:53.371921,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T13:59:47-04:00,11,14%
2020-09-13 14:00:13.473721,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:00:06-04:00,11,14%
2020-09-13 14:00:33.630864,UCB,1916,Patrick Henry/Toms Creek Ebnd,1323,N,Y,2020-09-13T14:00:17-04:00,11,14%
2020-09-13 14:00:53.762034,UCB,1916,The Village on Patrick Henry Ebnd,1324,N,N,2020-09-13T14:00:43-04:00,11,14%
2020-09-13 14:01:13.880691,UCB,1916,The Village on Patrick Henry Ebnd,1324,N,N,2020-09-13T14:01:06-04:00,11,14%
2020-09-13 14:01:34.017158,UCB,1916,Patrick Henry/Progress Ebnd,1325,N,N,2020-09-13T14:01:25-04:00,12,15%
2020-09-13 14:01:54.139621,UCB,1916,Progress/Hunt Club Sbnd,1326,N,N,2020-09-13T14:01:47-04:00,12,15%
2020-09-13 14:02:14.270982,UCB,1916,Progress/University Terr Sbnd,1327,N,N,2020-09-13T14:02:07-04:00,12,15%
2020-09-13 14:02:34.379113,UCB,1916,Progress/University Terr Sbnd,1327,N,N,2020-09-13T14:02:18-04:00,12,15%
2020-09-13 14:02:54.491731,UCB,1916,Progress/Broce Sbnd,1328,N,N,2020-09-13T14:02:43-04:00,12,15%
2020-09-13 14:03:14.644203,UCB,1916,Progress/Watson Sbnd,1340,N,N,2020-09-13T14:03:07-04:00,12,15%
2020-09-13 14:03:34.772320,UCB,1916,Progress/Watson Sbnd,1340,N,N,2020-09-13T14:03:13-04:00,12,15%
2020-09-13 14:03:54.887344,UCB,1916,Main/Kabrich Sbnd,1421,N,N,2020-09-13T14:03:50-04:00,12,15%
2020-09-13 14:04:15.002993,UCB,1916,Main/Kabrich Sbnd,1421,N,N,2020-09-13T14:03:54-04:00,12,15%
2020-09-13 14:04:35.124763,UCB,1916,Main/Kabrich Sbnd,1421,N,N,2020-09-13T14:04:22-04:00,12,15%
2020-09-13 14:04:55.249761,UCB,1916,Main/Kabrich Sbnd,1421,N,N,2020-09-13T14:04:50-04:00,12,15%
2020-09-13 14:05:15.360230,UCB,1916,Main/Kabrich Sbnd,1421,N,N,2020-09-13T14:05:05-04:00,12,15%
2020-09-13 14:05:35.489281,UCB,1916,Main/Kabrich Sbnd,1421,N,N,2020-09-13T14:05:12-04:00,12,15%
2020-09-13 14:05:55.616804,UCB,1916,McBryde Hall,1106,N,N,2020-09-13T14:05:45-04:00,12,15%
2020-09-13 14:06:15.729489,UCB,1916,McBryde Hall,1106,N,N,2020-09-13T14:06:05-04:00,12,15%
2020-09-13 14:06:35.858318,UCB,1916,McBryde Hall,1106,N,N,2020-09-13T14:06:28-04:00,12,15%
2020-09-13 14:06:55.971143,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:06:38-04:00,12,15%
2020-09-13 14:07:16.095026,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:07:02-04:00,12,15%
2020-09-13 14:07:36.224151,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:07:28-04:00,12,15%
2020-09-13 14:07:56.332091,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:07:40-04:00,12,15%
2020-09-13 14:08:16.454171,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:07:58-04:00,12,15%
2020-09-13 14:08:36.594060,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:08:28-04:00,12,15%
